"","REGION","ADM_RATE","SATVR25","SATVR75","SATMT25","SATMT75","SATWR25","SATWR75","SATVRMID","SATMTMID","SATWRMID","ACTCM25","ACTCM75","ACTEN25","ACTEN75","ACTMT25","ACTMT75","ACTWR25","ACTWR75","ACTCMMID","ACTENMID","ACTMTMID","ACTWRMID","SAT_AVG","PCIP01","PCIP03","PCIP04","PCIP05","PCIP09","PCIP10","PCIP11","PCIP12","PCIP13","PCIP14","PCIP15","PCIP16","PCIP19","PCIP22","PCIP23","PCIP24","PCIP25","PCIP26","PCIP27","PCIP29","PCIP30","PCIP31","PCIP38","PCIP39","PCIP40","PCIP41","PCIP42","PCIP43","PCIP44","PCIP45","PCIP46","PCIP47","PCIP48","PCIP49","PCIP50","PCIP51","PCIP52","PCIP54","NPT4_PUB","NPT41_PUB","NPT42_PUB","NPT43_PUB","NPT44_PUB","NPT45_PUB","NUM4_PUB","NUM41_PUB","NUM42_PUB","NUM43_PUB","NUM44_PUB","NUM45_PUB","COSTT4_A","TUITIONFEE_IN","TUITIONFEE_OUT","AVGFACSAL","PFTFAC","FEMALE","MARRIED","DEPENDENT","VETERAN","FIRST_GEN","C150_4","C150_4_HISP","C150_4_AIAN","C150_4_WHITE","C150_4_BLACK","C150_4_ASIAN","C150_4_NHPI","UGDS","UGDS_WHITE","UGDS_BLACK","UGDS_HISP","UGDS_ASIAN","UGDS_AIAN","UGDS_NHPI","UGDS_2MOR","UGDS_NRA","UGDS_UNKN","PPTUG_EF","NPT4_048_PUB","NPT4_3075_PUB","NPT4_75UP_PUB"
"287","1",941,420,520,410,510,420,520,470,460,470,17,23,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,932,0,0,0,0,0.0696,0,0.015,0,0.0816,0,0,0.0186,0,0,0.0438,0.129,0.0042,0.03,0.012,0,0,0.0282,0.0036,0,0.0132,0,0.1068,0,0.0354,0.0534,0,0,0,0,0.0462,0.153,0.126,0.0306,14741,10835,12415,14688,17827,18842,985,275,136,189,176,209,19704,9157,20937,8602,0.4605,0.6406619385,0.0344102968,0.8226950355,0.0042027843,0.4032163743,0.5287,0.4468,0.5,0.5517,0.4694,0.45,NA,8133,0.5757,0.1602,0.1184,0.0273,0.0022,1e-04,0.024,0.0038,0.0883,0.1637,11358,13737,18378
"288","3",1284,475,630,490,640,NA,NA,553,565,NA,19,26,19,26,17,26,NA,NA,23,23,22,NA,1055,0.0422,0.0148,0.0145,5e-04,0.0441,0,0.0191,0.004,0.1537,0.0449,0.0701,0.0064,0.0048,0.0073,0.0301,0.0167,0,0.0376,0.0032,0,0.0167,0.0352,0.0019,0,0.0073,0,0.0363,0.0124,0.0236,0.0693,0,0.0099,0,0.0344,0.05,0.0943,0.0814,0.0134,16247,13521,13973,16568,19374,21634,1849,696,275,311,279,288,25105,12248,24871,6882,0.8508,0.4973070018,0.0689706762,0.7857570317,0.0107719928,0.3361413941,0.4433,0.4091,0.25,0.5167,0.3107,0.3077,NA,13171,0.633,0.203,0.0785,0.0166,0.0024,0.0011,0.0295,0.0348,0.0011,0.1177,13649,15350,20522
"289","3",1430,440,600,480,570,425,560,520,525,493,20,26,20,26,19,26,NA,NA,23,23,23,NA,1070,0,0,0,0,0.0344,0,0.0196,0,0.0795,0.0772,0.0085,0.0098,0,0,0.0545,0.0022,0,0.0647,0.0067,0,0,0.0406,0.0031,0,0.0143,0,0.0777,0.0393,0.0143,0.0661,0,0,0,0,0.0406,0.1272,0.1969,0.0228,16725,12288,13838,17941,20334,20813,1336,378,202,251,230,275,22219,9738,20682,7866,0.7029,0.5744844864,0.0512622856,0.8088263635,0.0065523222,0.3197080292,0.505,0.4167,0,0.5375,0.368,0.4242,NA,11371,0.7406,0.1467,0.0382,0.0172,0.0024,8e-04,0.031,0.0098,0.0134,0.1473,12828,16112,20595
"290","8",1147,460,580,450,550,440,550,520,500,495,20,25,19,25,18,25,NA,NA,23,22,22,NA,1029,0,0.037,0,0,0.0667,0,0.0284,0,0.0877,0,0,0.0062,0,0,0.042,0,0,0.0457,0.0198,0,0.0222,0.0568,0,0,0.0235,0,0.1025,0.079,0,0.0889,0,0,0,0,0.1049,0,0.1704,0.0185,13755,11325,11093,13802,17390,17964,289,98,50,47,46,48,19231,7701,21279,7134,0.569,0.6120300752,0.1187969925,0.634085213,NA,0.4074889868,0.3956,0.3462,0.2143,0.4081,0.2727,0.381,NA,4397,0.6316,0.0255,0.1019,0.0248,0.0139,0.0057,0.0584,0.025,0.1133,0.2179,11246,12405,17683
"291","5",1205,510,610,530,630,NA,NA,560,580,NA,22,27,21,26,23,27,NA,NA,25,24,25,NA,1134,0,0,0.0628,0,0.0144,0,0.2081,0,0.0013,0.2421,0.267,0,0,0,0,0.0052,0,0.0196,0.0131,0,0,0,0,0,0.0039,0,0.0105,0,0,0.0131,0,0,0,0,0.0131,0,0.1257,0,12033,9785,10578,12853,13922,14553,504,157,74,103,83,87,17894,5839,17144,6149,0.7235,0.2084442754,0.1080258653,0.6713579308,0.0060859642,0.297125951,0.352,0.5,1,0.3483,0.3654,0.1622,NA,5890,0.5477,0.2081,0.0883,0.0693,0.0015,0.0012,0.0374,0.0309,0.0156,0.2805,10039,11902,14245
"292","5",429,NA,NA,420,520,NA,NA,NA,470,NA,17,21,17,21,17,21,NA,NA,19,19,19,NA,910,0.0198,0.0026,0.0119,0,0.0462,0,0.0251,0,0.0225,0.0594,0.0132,0.0013,0.0581,0,0.0145,0,0,0.0476,0.0053,0,0.0608,0,0,0,0.0053,0,0.0647,0.0793,0.0211,0.0528,0,0,0,0,0.0211,0.21,0.1361,0.0211,12106,10849,12738,14993,16155,14990,960,597,162,95,58,48,18882,6630,8274,5683,0.9412,0.6325782811,0.025649567,0.8211192538,NA,0.4150289017,0.3211,0.25,0,0.4,0.3241,0,NA,5133,0.0244,0.9382,0.0076,0.0023,0.001,6e-04,0.0125,0.0051,0.0084,0.1397,11252,13572,15628
"293","5",50,410,480,250,530,310,510,445,390,410,15,18,15,19,15,18,NA,NA,17,17,17,NA,806,0,0,0,0,0,0,0,0,0.0379,0,0,0,0.041,0,0.0221,0.0473,0,0.0631,0.0252,0,0,0,0,0,0,0,0.1514,0.1293,0.1861,0.0032,0,0,0,0,0,0.1009,0.1735,0.0189,7711,7437,8014,9271,10087,NA,115,88,17,6,4,0,10300,5218,6517,5676,0.7651,0.730620155,0.0678294574,0.4709302326,NA,0.5077288942,0.1172,NA,NA,0,0.1142,0,NA,1658,0.0223,0.8347,0.0078,0.0036,0.0012,0,0,0,0.1303,0.2829,7531,8342,10087
"294","7",608,460,570,450,570,440,550,515,510,495,20,26,19,26,18,25,6,8,23,23,22,7,1063,0.0169,0,0,0,0.0362,0,0.0115,0,0.1377,0.0054,0.0177,0.0069,0.0469,0.0054,0.0215,0.2654,0,0.0538,0.0038,0,0.0131,0.0069,0.0015,0,0.0123,0,0.0592,0.0292,0,0.0438,0.01,0,0,0,0.0369,0.0523,0.0877,0.0177,12951,11375,11983,13378,15331,15194,481,157,77,133,69,45,18315,6138,18596,6339,0.7741,0.5362019032,0.1861812164,0.6797683078,0.0070335126,0.3449186098,0.5036,0.4516,0.2727,0.5252,0.4211,0.2,0.25,5514,0.7909,0.0152,0.0506,0.0082,0.0132,0.012,0.0091,0.053,0.0479,0.1016,11575,12866,15277
"295","4",801,440,505,405,500,365,470,473,453,418,19,23,17,23,18,25,NA,NA,21,20,22,NA,990,0.0245,0.0163,0,0,0.0286,0,0.0286,0.0224,0.1653,0,0,0.0061,0,0,0.0306,0.0122,0,0.0245,0.0122,0,0.0061,0.0816,0.0041,0,0.0061,0,0.0612,0.0388,0.049,0.0347,0,0,0,0,0.0306,0.002,0.2898,0.0245,14387,10952,11708,14017,17181,17861,274,63,31,74,61,45,19028,8074,8074,8046,0.5238,0.5580110497,0.0883977901,0.7411207577,0.0086819258,0.2684859155,0.432,0.2,0,0.504,0.1176,0.125,0,2359,0.8241,0.0411,0.036,0.0225,0.0059,4e-04,0.0229,0.0348,0.0123,0.1857,11201,13335,17470
"296","6",1391,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,24,18,25,17,24,NA,NA,22,22,21,NA,1010,0,0,0,0.005,0.0164,0,0.0202,0,0.1196,0.0076,0.0315,0.0038,0,0,0.0101,0.1549,0,0.0113,0.0038,0,0.0277,0.068,0,0,0.0101,0,0.0315,0.0239,0.0126,0.005,0,0,0,0,0.0113,0.296,0.1209,0.0088,10686,7859,8396,11881,13827,13607,624,183,118,105,116,102,17060,5820,12270,6686,1,0.6061381074,0.1248081841,0.7038363171,0.0071611253,0.4385769872,0.3359,0.2321,0.1373,0.3605,0.2703,0.5455,0.3333,4051,0.6724,0.0573,0.0783,0.016,0.0402,0.0012,0.078,0.0365,0.02,0.1644,8069,10037,13724
